request_id,ticket_id,query,status,sop_id,latency_ms,confidence_score,revision_count,success,before_response,after_response,retrieved_context_count
req-64ac9925ab98,tkt-41882d88fa,The food was bad and I want a refund,Auto-Resolved,refund_not_received,801.846,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-2aa9a96dcb9a,tkt-12a6f8f6b6,My refund has not arrived yet,Auto-Resolved,refund_not_received,624.03,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-ce625be6009c,tkt-58fd1bc82c,I was charged twice for the same order,Auto-Resolved,refund_not_received,602.468,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-b58f2b4e9473,tkt-4f04c54526,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,663.19,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
req-46c096e3c00b,tkt-f8ecc8a99b,My account is locked after multiple sign-in attempts,Escalated,,161.812,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-1babd9a781e3,tkt-2e5f19a7b0,I need help with an unsupported enterprise request,Escalated,,152.262,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-41ee1deeded1,tkt-2699e544c7,The food was bad and I want a refund,Auto-Resolved,refund_not_received,751.586,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-4b3c92a6fe46,tkt-0a8f00026b,My refund has not arrived yet,Auto-Resolved,refund_not_received,757.118,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-fba303154dc5,tkt-f1fd8e2a3a,I was charged twice for the same order,Auto-Resolved,refund_not_received,1702.346,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-1d3532464ce8,tkt-cb5c754e2e,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,1065.187,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
